"id","date","title","type","source","topics","selection","url"
"ppp-1989-05-26-trade-barriers","1989-05-26","Statement on United States Action Against Foreign Trade Barriers","Statement","Public Papers of George Bush","Super 301; Structural Impediments Initiative; Market access","","https://www.bush41library.gov/digital-research-room/finding-aid/public-papers/statement-united-states-action-against-foreign"
"ppp-1990-06-28-japan-trade","1990-06-28","Statement on Japan-United States Trade Negotiations","Statement","Public Papers of George Bush","Japan; Structural Impediments Initiative; Trade","","https://www.bush41library.gov/digital-research-room/finding-aid/public-papers/statement-japan-united-states-trade-negotiations"
"ppp-1990-07-03-reporters","1990-07-03","Exchange With Reporters on the Houston Economic Summit and the Uruguay Round","Exchange with reporters","Public Papers of George Bush","Houston Summit; Uruguay Round","","https://www.bush41library.gov/digital-research-room/finding-aid/public-papers/exchange-reporters-1"
"ppp-1990-houston-communique","1990-07-11","Remarks Presenting the Final Communique of the Houston Economic Summit","Remarks","Public Papers of George Bush","Houston Summit; G-7; Communique","","https://www.bush41library.gov/digital-research-room/finding-aid/public-papers/remarks-presenting-final-communique-houston"
"ppp-1991-economic-report","1991-02-12","Message to Congressional Leaders Transmitting the 1991 Economic Report of the President","Message","Public Papers of George Bush","International economy; Economic strategy","","https://www.bush41library.gov/digital-research-room/finding-aid/public-papers/message-congressional-leaders-transmitting-1991"
"ppp-1991-04-04-japan","1991-04-04","Statement on Japan-United States Relations","Statement","Public Papers of George Bush","Japan; Trade; Bilateral economic relations","","https://www.bush41library.gov/digital-research-room/finding-aid/public-papers/statement-japan-united-states-relations"
"ppp-1991-london-declaration","1991-07-17","London Economic Summit Economic Declaration","Declaration","Public Papers of George Bush","London Summit; G-7; International economy","","https://www.bush41library.gov/digital-research-room/finding-aid/public-papers/london-economic-summit-economic-declaration"
"ppp-nafta-fact-sheet","1992-08-12","White House Fact Sheet: North American Free Trade Agreement","Fact sheet","Public Papers of George Bush","NAFTA; Canada; Mexico; Volume XXXIII boundary","Boundary","https://www.bush41library.gov/digital-research-room/finding-aid/public-papers/white-house-fact-sheet-north-american-free-trade"
