"naid","workingStartDate","workingEndDate","dateBasis","title","localId","chapter","routing","markerStatus","markerFolderId","catalogFolderId","markerIdNote","hasOnlinePdf","pdfBytes","catalogPdfBytes","pdfByteBasis","accessStatus","memosToPresident","memosToScowcroft","memorandaOfConversation","meetingRecords","withdrawalSheets","economicSignalTotal","economySignals","financeSignals","tradeSignals","assistanceSanctionsSignals","energySignals","agricultureSignals","treasurySignals","archivalLocator","catalogUrl","pdfUrl"
"446394933","1989-02-22","1989-02-22","Catalog coverage dates","NSR-8 - February 22, 1989 - U.S. Policy Toward South Asia","90006-011","Trade Policy and Market Access","Volume XXX review","verified","90006-011","90006-011","","true","19850434","19850434","HTTP Content-Length","Restricted - Possibly","5","3","0","0","6","202","69","8","87","13","7","11","7","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–011, NSR-8—February 22, 1989—U.S. Policy Toward South Asia.","https://catalog.archives.gov/id/446394933","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-8-90006-011.pdf"
"446394934","1989-02-22","1989-02-22","Catalog coverage dates","NSR-9 - February 22, 1989 - U.S. Policy Toward Libya","90006-012","Series context and cross-volume routing","Series context","verified with catalog ID mismatch","90006-009","90006-012","90006-009 on the marker; 90006-012 in the Catalog and digital-object path","true","6107183","6107183","HTTP Content-Length","Restricted - Possibly","0","0","0","0","17","43","3","15","6","0","7","6","6","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–012, NSR-9—February 22, 1989—U.S. Policy Toward Libya.","https://catalog.archives.gov/id/446394934","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-9-90006-012.pdf"
"446394935","1989-02-22","1989-02-22","Catalog coverage dates","NSR-10 - February 22, 1989 - U.S. Policy Toward the Persian Gulf","90006-013","Monetary Policy, Debt, and International Institutions","Boundary review","verified with handwritten correction","90006-010","90006-013","90006-010 to 90006-013","true","8950725","8950725","HTTP Content-Length","Restricted - Possibly","3","3","0","0","12","44","3","10","8","0","11","6","6","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–013, NSR-10—February 22, 1989—U.S. Policy Toward the Persian Gulf.","https://catalog.archives.gov/id/446394935","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-10-90006-013.pdf"
"446394936","1989-02-25","1989-02-25","Catalog coverage dates","NSR-11 - February 25, 1989 - Defense Management Review [1]","90006-014","Series context and cross-volume routing","Series context","verified","90006-014","90006-014","","true","10270173","10270173","HTTP Content-Length","Restricted - Possibly","2","1","0","0","17","28","1","15","3","0","3","3","3","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–014, NSR-11—February 25, 1989—Defense Management Review [1].","https://catalog.archives.gov/id/446394936","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-11_1-90006-014.pdf"
"446394937","1989-02-25","1989-02-25","Catalog coverage dates","NSR-11 - February 25, 1989 - Defense Management Review [2]","90006-015","Series context and cross-volume routing","Series context","verified","90006-015","90006-015","","true","8008377","8008377","HTTP Content-Length","Restricted - Possibly","0","2","0","0","1","22","4","4","10","2","2","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–015, NSR-11—February 25, 1989—Defense Management Review [2].","https://catalog.archives.gov/id/446394937","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-11_2-90006-015.pdf"
"446394938","1989-02-25","1989-02-25","Catalog coverage dates","NSR-11 - February 25, 1989 - Defense Management Review [3]","90006-016","Series context and cross-volume routing","Series context","verified","90006-016","90006-016","","true","5830193","5830193","HTTP Content-Length","Restricted - Possibly","0","0","0","0","1","22","4","4","10","2","2","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–016, NSR-11—February 25, 1989—Defense Management Review [3].","https://catalog.archives.gov/id/446394938","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-11_3-90006-016.pdf"
"446394939","1989-02-25","1989-02-25","Catalog coverage dates","NSR-11 - February 25, 1989 - Defense Management Review [4]","90006-017","Series context and cross-volume routing","Series context","verified","90006-017","90006-017","","true","14596600","14596600","HTTP Content-Length","Restricted - Possibly","2","2","0","0","1","20","4","4","8","2","2","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–017, NSR-11—February 25, 1989—Defense Management Review [4].","https://catalog.archives.gov/id/446394939","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-11_4-90006-017.pdf"
"446394940","1989-02-25","1989-02-25","Catalog coverage dates","NSR-11 - February 25, 1989 - Defense Management Review [5]","90006-018","Series context and cross-volume routing","Series context","verified","90006-018","90006-018","","true","5309107","5309107","HTTP Content-Length","Restricted - Possibly","3","1","0","0","3","21","6","4","6","1","3","0","1","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–018, NSR-11—February 25, 1989—Defense Management Review [5].","https://catalog.archives.gov/id/446394940","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-11_5-90006-018.pdf"
"446394941","1989-03-03","1989-03-03","Catalog coverage dates","NSR-12 - March 03, 1989 -  Review of National Defense Strategy [1]","90006-019","Series context and cross-volume routing","Series context","verified","90006-019","90006-019","","true","13479658","13479658","HTTP Content-Length","Restricted - Possibly","0","1","0","0","11","61","10","9","11","0","14","6","11","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–019, NSR-12—March 03, 1989— Review of National Defense Strategy [1].","https://catalog.archives.gov/id/446394941","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-12_1-90006-019.pdf"
"446394942","1989-03-03","1989-03-03","Catalog coverage dates","NSR-12 - March 03, 1989 -  Review of National Defense Strategy [2]","90006-020","Series context and cross-volume routing","Series context","verified","90006-020","90006-020","","true","2663385","2663385","HTTP Content-Length","Restricted - Possibly","0","0","0","0","7","17","0","6","3","0","3","2","3","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–020, NSR-12—March 03, 1989— Review of National Defense Strategy [2].","https://catalog.archives.gov/id/446394942","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-12_2-90006-020.pdf"
"446394943","1989-03-03","1989-03-03","Catalog coverage dates","NSR-12 - March 03, 1989 -  Review of National Defense Strategy [3]","90006-021","Series context and cross-volume routing","Series context","verified","90006-021","90006-021","","true","703145","703145","HTTP Content-Length","Restricted - Possibly","0","0","0","0","2","1","0","1","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–021, NSR-12—March 03, 1989— Review of National Defense Strategy [3].","https://catalog.archives.gov/id/446394943","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-12_3-90006-021.pdf"
"446394944","1989-03-03","1989-03-03","Catalog coverage dates","NSR-12 - March 03, 1989 -  Review of National Defense Strategy [4]","90006-022","Series context and cross-volume routing","Series context","verified","90006-022","90006-022","","true","439401","439401","HTTP Content-Length","Restricted - Possibly","0","0","0","0","2","1","0","1","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–022, NSR-12—March 03, 1989— Review of National Defense Strategy [4].","https://catalog.archives.gov/id/446394944","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-12_4-90006-022.pdf"
"446394945","1989-03-03","1989-03-03","Catalog coverage dates","NSR-12 - March 03, 1989 -  Review of National Defense Strategy [5]","90006-023","Series context and cross-volume routing","Series context","verified","90006-023","90006-023","","true","1100133","1100133","HTTP Content-Length","Restricted - Possibly","0","0","0","0","3","10","0","2","2","0","2","2","2","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90006–023, NSR-12—March 03, 1989— Review of National Defense Strategy [5].","https://catalog.archives.gov/id/446394945","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-12_5-90006-023.pdf"
