"naid","workingStartDate","workingEndDate","dateBasis","title","localId","chapter","routing","markerStatus","markerFolderId","catalogFolderId","markerIdNote","hasOnlinePdf","pdfBytes","catalogPdfBytes","pdfByteBasis","accessStatus","memosToPresident","memosToScowcroft","memorandaOfConversation","meetingRecords","withdrawalSheets","economicSignalTotal","economySignals","financeSignals","tradeSignals","assistanceSanctionsSignals","energySignals","agricultureSignals","treasurySignals","archivalLocator","catalogUrl","pdfUrl"
"446394956","1989-06-07","1989-06-07","Catalog coverage dates","NSR-16 - June 07, 1989 - Comprehensive Review of International Affairs Budget and Programs [2]","90007-004","Monetary Policy, Debt, and International Institutions","Boundary review","verified","90007-004","90007-004","","true","8295483","8295483","HTTP Content-Length","Restricted - Possibly","0","0","0","0","16","30","8","14","0","3","0","2","3","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90007–004, NSR-16—June 07, 1989—Comprehensive Review of International Affairs Budget and Programs [2].","https://catalog.archives.gov/id/446394956","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-16_2-90007-004.pdf"
"446394957","1989-06-15","1989-06-15","Catalog coverage dates","NSR-17 - June 15, 1989 - Review of United States Non Proliferation Policy [1]","90007-005","Strategic Trade, Technology, and Investment Controls","Volume XXX review","verified","90007-005","90007-005","","true","3611255","3611255","HTTP Content-Length","Restricted - Possibly","0","0","0","0","8","27","6","7","12","0","2","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90007–005, NSR-17—June 15, 1989—Review of United States Non Proliferation Policy [1].","https://catalog.archives.gov/id/446394957","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-17_1-90007-005.pdf"
"446394958","1989-06-15","1989-06-15","Catalog coverage dates","NSR-17 - June 15, 1989 - Review of United States Non Proliferation Policy [2]","90007-006","Strategic Trade, Technology, and Investment Controls","Boundary review","verified","90007-006","90007-006","","true","8692105","8692105","HTTP Content-Length","Restricted - Possibly","0","0","0","0","15","45","1","13","7","0","10","7","7","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90007–006, NSR-17—June 15, 1989—Review of United States Non Proliferation Policy [2].","https://catalog.archives.gov/id/446394958","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-17_2-90007-006.pdf"
"446394959","1989-06-15","1989-06-15","Catalog coverage dates","NSR-17 - June 15, 1989 - Review of United States Non Proliferation Policy [3]","90007-007","Strategic Trade, Technology, and Investment Controls","Boundary review","verified","90007-007","90007-007","","true","3268562","3268562","HTTP Content-Length","Restricted - Possibly","0","1","0","0","20","18","0","18","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90007–007, NSR-17—June 15, 1989—Review of United States Non Proliferation Policy [3].","https://catalog.archives.gov/id/446394959","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-17_3-90007-007.pdf"
"446394960","1989-06-22","1989-06-22","Catalog coverage dates","NSR-18 - June 22, 1989 - Counterintelligence and Security Countermeasures [1]","90007-008","Series context and cross-volume routing","Series context","verified","90007-008","90007-008","","true","14333470","14333470","HTTP Content-Length","Restricted - Possibly","0","2","0","0","7","62","1","6","12","1","12","10","20","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90007–008, NSR-18—June 22, 1989—Counterintelligence and Security Countermeasures [1].","https://catalog.archives.gov/id/446394960","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-18_1-90007-008.pdf"
"446394961","1989-06-22","1989-06-22","Catalog coverage dates","NSR-18 - June 22, 1989 - Counterintelligence and Security Countermeasures [2]","90007-009","Series context and cross-volume routing","Series context","verified","90007-009","90007-009","","true","2358136","2358136","HTTP Content-Length","Restricted - Possibly","0","0","0","0","8","7","0","7","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90007–009, NSR-18—June 22, 1989—Counterintelligence and Security Countermeasures [2].","https://catalog.archives.gov/id/446394961","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-18_2-90007-009.pdf"
"446394962","1989-06-22","1989-06-22","Catalog coverage dates","NSR-18 - June 22, 1989 - Counterintelligence and Security Countermeasures [3]","90007-010","Series context and cross-volume routing","Series context","verified","90007-010","90007-010","","true","1269135","1269135","HTTP Content-Length","Restricted - Possibly","0","0","0","0","6","5","0","5","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90007–010, NSR-18—June 22, 1989—Counterintelligence and Security Countermeasures [3].","https://catalog.archives.gov/id/446394962","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-18_3-90007-010.pdf"
"446394963","1989-06-22","1989-06-22","Catalog coverage dates","NSR-18 - June 22, 1989 - Counterintelligence and Security Countermeasures [4]","90007-011","Series context and cross-volume routing","Series context","verified","90007-011","90007-011","","true","2722514","2722514","HTTP Content-Length","Restricted - Possibly","0","0","0","0","8","7","0","7","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90007–011, NSR-18—June 22, 1989—Counterintelligence and Security Countermeasures [4].","https://catalog.archives.gov/id/446394963","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-18_4-90007-011.pdf"
"446394964","1989-07-07","1989-07-07","Catalog coverage dates","NSR-19 - July 07, 1989 - U.S. Policy Toward Lebanon","90007-012","Series context and cross-volume routing","Series context","verified","90007-012","90007-012","","true","11538986","11538986","HTTP Content-Length","Restricted - Possibly","0","0","0","0","30","54","3","27","6","0","6","6","6","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90007–012, NSR-19—July 07, 1989—U.S. Policy Toward Lebanon.","https://catalog.archives.gov/id/446394964","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-19-90007-012.pdf"
"446394965","1989-08-24","1989-08-24","Catalog coverage dates","NSR-20 - August 24, 1989 - Review of Policy and Programs Concerning Continuity of Government","90007-013","Series context and cross-volume routing","Series context","verified","90007-013","90007-013","","true","441427","441427","HTTP Content-Length","Restricted - Possibly","0","0","0","0","2","1","0","1","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90007–013, NSR-20—August 24, 1989—Review of Policy and Programs Concerning Continuity of Government.","https://catalog.archives.gov/id/446394965","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-20-90007-013.pdf"
"446394966","1990-01-05","1990-01-05","Catalog coverage dates","NSR-21 - January 05, 1990 - Negotiating Access to U.S. Facilities in the Philippines","90007-014","Series context and cross-volume routing","Series context","verified","90007-014","90007-014","","true","9950788","9950788","HTTP Content-Length","Restricted - Possibly","2","1","0","0","8","36","1","7","7","0","7","6","8","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90007–014, NSR-21—January 05, 1990—Negotiating Access to U.S. Facilities in the Philippines.","https://catalog.archives.gov/id/446394966","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-21-90007-014.pdf"
"446394967","1990-01-12","1990-01-12","Catalog coverage dates","NSR-22 - January 12, 1990 - COCOM Policy Towards Eastern Europe and the Soviet Union [1]","90007-015","Strategic Trade, Technology, and Investment Controls","Volume XXX review","verified","90007-015","90007-015","","true","10082696","10082696","HTTP Content-Length","Restricted - Possibly","2","1","0","0","15","119","1","13","73","0","13","8","11","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90007–015, NSR-22—January 12, 1990—COCOM Policy Towards Eastern Europe and the Soviet Union [1].","https://catalog.archives.gov/id/446394967","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-22_1-90007-015.pdf"
"446394968","1990-01-12","1990-01-12","Catalog coverage dates","NSR-22 - January 12, 1990 - COCOM Policy Towards Eastern Europe and the Soviet Union [2]","90007-016","Strategic Trade, Technology, and Investment Controls","Volume XXX review","verified","90007-016","90007-016","","true","1156128","1156128","HTTP Content-Length","Restricted - Possibly","0","0","0","0","3","14","0","2","12","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90007–016, NSR-22—January 12, 1990—COCOM Policy Towards Eastern Europe and the Soviet Union [2].","https://catalog.archives.gov/id/446394968","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-22_2-90007-016.pdf"
"446394969","1990-02-21","1990-02-21","Catalog coverage dates","NSR-23 - February 21, 1990 - U.S. Policy Towards the Maghreb-Morocco / Algeria and Tunisia","90007-017","Series context and cross-volume routing","Series context","verified","90007-017","90007-017","","true","6326792","6326792","HTTP Content-Length","Restricted - Possibly","0","0","0","0","13","22","1","11","0","0","5","0","5","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90007–017, NSR-23—February 21, 1990—U.S. Policy Towards the Maghreb-Morocco / Algeria and Tunisia.","https://catalog.archives.gov/id/446394969","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-23-90007-017.pdf"
"446394970","1990-03-28","1990-03-28","Catalog coverage dates","NSR-24 - March 28, 1990 - Review of U.S. Government International Broadcasting Activities [1]","90007-018","Series context and cross-volume routing","Series context","verified","90007-018","90007-018","","true","10752213","10752213","HTTP Content-Length","Restricted - Possibly","0","1","0","0","14","15","3","12","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90007–018, NSR-24—March 28, 1990—Review of U.S. Government International Broadcasting Activities [1].","https://catalog.archives.gov/id/446394970","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-24_1-90007-018.pdf"
"446394971","1990-03-28","1990-03-28","Catalog coverage dates","NSR-24 - March 28, 1990 - Review of U.S. Government International Broadcasting Activities [2]","90007-019","Series context and cross-volume routing","Series context","verified","90007-019","90007-019","","true","13182320","13182320","HTTP Content-Length","Restricted - Possibly","4","1","0","0","14","25","0","12","5","0","3","2","3","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90007–019, NSR-24—March 28, 1990—Review of U.S. Government International Broadcasting Activities [2].","https://catalog.archives.gov/id/446394971","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-24_2-90007-019.pdf"
"446394972","1990-04-04","1990-04-04","Catalog coverage dates","NSR-25 - April 04, 1990 - National Industrial Security Program [1]","90007-020","Strategic Trade, Technology, and Investment Controls","Boundary review","verified","90007-020","90007-020","","true","8814387","8814387","HTTP Content-Length","Restricted - Possibly","3","1","0","0","8","21","1","7","0","0","13","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90007–020, NSR-25—April 04, 1990—National Industrial Security Program [1].","https://catalog.archives.gov/id/446394972","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-25_1-90007-020.pdf"
"446394973","1990-04-04","1990-04-04","Catalog coverage dates","NSR-25 - April 04, 1990 - National Industrial Security Program [2]","90007-021","Strategic Trade, Technology, and Investment Controls","Boundary review","verified","90007-021","90007-021","","true","7807921","7807921","HTTP Content-Length","Restricted - Possibly","0","0","0","0","12","18","2","10","0","0","5","0","1","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90007–021, NSR-25—April 04, 1990—National Industrial Security Program [2].","https://catalog.archives.gov/id/446394973","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-25_2-90007-021.pdf"
"446394974","1990-05-14","1990-05-14","Catalog coverage dates","NSR-26 - May 14, 1990 - Review of U.S.-Turkish Relations","90007-022","Series context and cross-volume routing","Series context","verified","90007-022","90007-022","","true","5287354","5287354","HTTP Content-Length","Restricted - Possibly","0","0","0","0","7","14","1","6","0","0","0","0","7","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90007–022, NSR-26—May 14, 1990—Review of U.S.-Turkish Relations.","https://catalog.archives.gov/id/446394974","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-26-90007-022.pdf"
"446394975","1990-06-11","1990-06-11","Catalog coverage dates","NSR-27 - June 11, 1990 - Low Intensity Conflict [1]","90007-023","Series context and cross-volume routing","Series context","verified","90007-023","90007-023","","true","17697309","17697308","HTTP Content-Length","Restricted - Possibly","2","1","0","0","20","52","3","17","8","0","0","0","24","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90007–023, NSR-27—June 11, 1990—Low Intensity Conflict [1].","https://catalog.archives.gov/id/446394975","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-27_1-90007-023.pdf"
"446394976","1990-06-11","1990-06-11","Catalog coverage dates","NSR-27 - June 11, 1990 - Low Intensity Conflict [2]","90007-024","Series context and cross-volume routing","Series context","verified","90007-024","90007-024","","true","18813865","18813864","HTTP Content-Length","Restricted - Possibly","0","0","0","0","23","48","0","20","7","0","7","5","9","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90007–024, NSR-27—June 11, 1990—Low Intensity Conflict [2].","https://catalog.archives.gov/id/446394976","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-27_2-90007-024.pdf"
"446394977","1991-06-02","1991-06-02","Catalog coverage dates","NSR-28 - June 2, 1991 - U.S. Policy Toward North Korean Nuclear Weapons Program","90007-025","Series context and cross-volume routing","Series context","verified","90007-025","90007-025","","true","13209600","13209600","HTTP Content-Length","Restricted - Possibly","0","1","0","0","20","29","4","17","0","0","8","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90007–025, NSR-28—June 2, 1991—U.S. Policy Toward North Korean Nuclear Weapons Program.","https://catalog.archives.gov/id/446394977","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-28-90007-025.pdf"
"446394978","1991-11-15","1991-11-15","Catalog coverage dates","NSR-29 - November 15, 1991 - Intelligence Capabilities 1992-2005 [1]","90008-001","Series context and cross-volume routing","Series context","verified","90008-001","90008-001","","true","8635424","8635424","HTTP Content-Length","Restricted - Possibly","0","0","0","0","5","32","0","4","3","0","9","6","10","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90008–001, NSR-29—November 15, 1991—Intelligence Capabilities 1992-2005 [1].","https://catalog.archives.gov/id/446394978","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-29_1-90008-001.pdf"
"446394979","1991-11-15","1991-11-15","Catalog coverage dates","NSR-29 - November 15, 1991 - Intelligence Capabilities 1992-2005 [2]","90008-002","Series context and cross-volume routing","Series context","verified","90008-002","90008-002","","true","3909336","3909336","HTTP Content-Length","Restricted - Possibly","0","1","0","0","36","37","0","32","0","0","3","2","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90008–002, NSR-29—November 15, 1991—Intelligence Capabilities 1992-2005 [2].","https://catalog.archives.gov/id/446394979","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-29_2-90008-002.pdf"
"446394980","1991-11-15","1991-11-15","Catalog coverage dates","NSR-29 - November 15, 1991 - Intelligence Capabilities 1992-2005 [3]","90008-003","Series context and cross-volume routing","Series context","verified","90008-003","90008-003","","true","11549983","11549983","HTTP Content-Length","Restricted - Possibly","0","1","0","0","43","73","0","39","8","0","6","8","12","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90008–003, NSR-29—November 15, 1991—Intelligence Capabilities 1992-2005 [3].","https://catalog.archives.gov/id/446394980","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-29_3-90008-003.pdf"
"446394981","1991-11-15","1991-11-15","Catalog coverage dates","NSR-29 - November 15, 1991 - Intelligence Capabilities 1992-2005 [4]","90008-004","Series context and cross-volume routing","Series context","verified","90008-004","90008-004","","true","9023653","9023653","HTTP Content-Length","Restricted - Possibly","0","2","0","0","7","27","1","6","6","0","3","7","4","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90008–004, NSR-29—November 15, 1991—Intelligence Capabilities 1992-2005 [4].","https://catalog.archives.gov/id/446394981","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-29_4-90008-004.pdf"
"446394982","1991-11-15","1991-11-15","Catalog coverage dates","NSR-29 - November 15, 1991 - Intelligence Capabilities 1992-2005 [5]","90008-005","Series context and cross-volume routing","Series context","verified","90008-005","90008-005","","true","14193526","14193526","HTTP Content-Length","Restricted - Possibly","0","1","0","0","17","66","2","15","8","0","9","13","19","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90008–005, NSR-29—November 15, 1991—Intelligence Capabilities 1992-2005 [5].","https://catalog.archives.gov/id/446394982","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-29_5-90008-005.pdf"
"446394983","1991-11-15","1991-11-15","Catalog coverage dates","NSR-29 - November 15, 1991 - Intelligence Capabilities 1992-2005 [6]","90008-006","Series context and cross-volume routing","Series context","verified","90008-006","90008-006","","true","6684245","6684245","HTTP Content-Length","Restricted - Possibly","0","0","0","0","28","57","7","26","4","0","8","1","11","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90008–006, NSR-29—November 15, 1991—Intelligence Capabilities 1992-2005 [6].","https://catalog.archives.gov/id/446394983","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-29_6-90008-006.pdf"
"446394984","1991-11-15","1991-11-15","Catalog coverage dates","NSR-29 - November 15, 1991 - Intelligence Capabilities 1992-2005 [7]","90008-007","Series context and cross-volume routing","Series context","verified","90008-007","90008-007","","true","4021623","4021623","HTTP Content-Length","Restricted - Possibly","0","1","0","0","16","37","1","15","1","0","2","9","9","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90008–007, NSR-29—November 15, 1991—Intelligence Capabilities 1992-2005 [7].","https://catalog.archives.gov/id/446394984","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-29_7-90008-007.pdf"
"446394985","1991-11-15","1991-11-15","Catalog coverage dates","NSR-29 - November 15, 1991 - Intelligence Capabilities 1992-2005 [8]","90008-008","Series context and cross-volume routing","Series context","verified","90008-008","90008-008","","true","2710666","2710666","HTTP Content-Length","Restricted - Possibly","0","0","0","0","11","11","0","9","2","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90008–008, NSR-29—November 15, 1991—Intelligence Capabilities 1992-2005 [8].","https://catalog.archives.gov/id/446394985","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-29_8-90008-008.pdf"
"446394986","1991-11-15","1991-11-15","Catalog coverage dates","NSR-29 - November 15, 1991 - Intelligence Capabilities 1992-2005 [9]","90008-009","Series context and cross-volume routing","Series context","verified","90008-009","90008-009","","true","1948439","1948439","HTTP Content-Length","Restricted - Possibly","0","0","0","0","7","10","0","6","0","0","4","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90008–009, NSR-29—November 15, 1991—Intelligence Capabilities 1992-2005 [9].","https://catalog.archives.gov/id/446394986","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-29_9-90008-009.pdf"
"446394987","1992-06-15","1992-06-15","Catalog coverage dates","NSR-30 - June 15, 1992 - American Policy Toward Africa in the 1990s","90008-010","Monetary Policy, Debt, and International Institutions","Boundary review","verified","90008-010","90008-010","","true","8463123","8463123","HTTP Content-Length","Restricted - Possibly","0","1","0","0","7","41","16","7","3","1","0","1","13","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSR Files, OA/ID 90008–010, NSR-30—June 15, 1992—American Policy Toward Africa in the 1990s.","https://catalog.archives.gov/id/446394987","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSRs_313189297/41-bpr-nsc-hfiles-nsr-30-90008-010.pdf"
