"naid","workingStartDate","workingEndDate","dateBasis","title","localId","chapter","routing","markerStatus","hasOnlinePdf","pdfBytes","catalogPdfBytes","pdfByteBasis","accessStatus","memosToPresident","memosToScowcroft","memorandaOfConversation","meetingRecords","withdrawalSheets","economicSignalTotal","economySignals","financeSignals","tradeSignals","assistanceSanctionsSignals","energySignals","agricultureSignals","treasurySignals","archivalLocator","catalogUrl","pdfUrl"
"470761476","1991-03-06","1991-03-06","Catalog coverage dates","DC-Soviet BW, Situation Room 3/6/91 1:00 pm","90043-012","Series context and cross-volume routing","Series context","verified","true","467158","467158","HTTP Content-Length","Restricted - Possibly","0","0","0","0","2","1","0","1","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–012, DC-Soviet BW, Situation Room 3/6/91 1:00 pm.","https://catalog.archives.gov/id/470761476","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-012.pdf"
"470761490","1991-03-25","1991-03-25","Catalog coverage dates","DC-Converntional Arms 3/25/91 2:00 PM","90043-026","Series context and cross-volume routing","Series context","verified","true","552599","552599","HTTP Content-Length","Restricted - Possibly","0","0","0","0","3","2","0","2","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–026, DC-Converntional Arms 3/25/91 2:00 PM.","https://catalog.archives.gov/id/470761490","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-026.pdf"
"470761477","1991-04-18","1991-04-18","Catalog coverage dates","DC-(SVTS) Iraq 4/18/91 9:30 AM","90043-013","Series context and cross-volume routing","Series context","verified","true","472799","472799","Catalog objectFileSize","Restricted - Possibly","0","0","0","0","2","2","0","1","0","0","0","0","1","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–013, DC-(SVTS) Iraq 4/18/91 9:30 AM.","https://catalog.archives.gov/id/470761477","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-013.pdf"
"470761478","1991-04-30","1991-04-30","Catalog coverage dates","NSC Meeting 4/30/91 1:30 PM","90043-014","Series context and cross-volume routing","Series context","verified","true","1170334","1170334","HTTP Content-Length","Restricted - Possibly","0","2","0","0","3","7","0","2","0","0","0","0","5","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–014, NSC Meeting 4/30/91 1:30 PM.","https://catalog.archives.gov/id/470761478","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-014.pdf"
"470761479","1991-06-04","1991-06-04","Catalog coverage dates","4:00-5:00 - Tuesday, 4 June 1991 Deputy Committee Meeting-Situation Room (Persian Gulf); 5:00-6:00-Kimmitt, Kerr, et.al.-Situation Room","90043-015","Series context and cross-volume routing","Series context","verified","true","410006","410006","HTTP Content-Length","Restricted - Possibly","0","0","0","0","0","1","0","0","0","0","0","0","1","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–015, 4:00-5:00—Tuesday, 4 June 1991 Deputy Committee Meeting-Situation Room (Persian Gulf); 5:00-6:00-Kimmitt, Kerr, et.al.-Situation Room.","https://catalog.archives.gov/id/470761479","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-015.pdf"
"470761480","1991-07-05","1991-07-05","Catalog coverage dates","NSC-Meeting Proliferation July 5, 1991 10:30 am","90043-016","Series context and cross-volume routing","Series context","verified","true","980046","980046","HTTP Content-Length","Restricted - Possibly","0","0","0","0","4","3","0","3","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–016, NSC-Meeting Proliferation July 5, 1991 10:30 am.","https://catalog.archives.gov/id/470761480","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-016.pdf"
"470761481","1991-08-19","1991-08-19","Catalog coverage dates","DC-Soviet Union 8/19/91 5:00 PM [Empty]","90043-017","Series context and cross-volume routing","Series context","verified","true","385568","385568","HTTP Content-Length","Restricted - Possibly","0","0","0","0","0","0","0","0","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–017, DC-Soviet Union 8/19/91 5:00 PM [Empty].","https://catalog.archives.gov/id/470761481","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-017.pdf"
"470761482","1991-08-21","1991-08-21","Catalog coverage dates","10:00-11:00-Wednesday, 21 August 1991 Deputy Committee Meeting-Situation Room (USSR)","90043-018","Series context and cross-volume routing","Series context","verified","true","392693","392693","HTTP Content-Length","Restricted - Possibly","0","0","0","0","0","1","0","0","0","0","0","0","1","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–018, 10:00-11:00-Wednesday, 21 August 1991 Deputy Committee Meeting-Situation Room (USSR).","https://catalog.archives.gov/id/470761482","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-018.pdf"
"470761483","1991-09-11","1991-09-11","Catalog coverage dates","DC-Small Group Meeting Iraq 9/11/91 9:00 am SVTS Room","90043-019","Series context and cross-volume routing","Series context","verified","true","565309","565309","HTTP Content-Length","Restricted - Possibly","0","0","0","0","4","3","0","3","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–019, DC-Small Group Meeting Iraq 9/11/91 9:00 am SVTS Room.","https://catalog.archives.gov/id/470761483","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-019.pdf"
"470761484","1991-09-27","1991-09-27","Meeting sheet in the official PDF","NSC Meeting-Nuclear Matters September 27 11:30 am Cabinet Room","90043-020","Series context and cross-volume routing","Series context","verified","true","759728","759728","HTTP Content-Length","Restricted - Possibly","0","0","0","0","5","6","0","4","0","0","2","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Follow-up Files, OA/ID 90043–020, NSC Meeting-Nuclear Matters September 27 11:30 am Cabinet Room.","https://catalog.archives.gov/id/470761484","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_Foll-up_312294094/41-bpr-nsc-hfiles-dc_mtgs_foll_up-90043-020.pdf"
