naid,localId,seriesNaid,seriesLocalId,seriesTitle,containerId,title,workingStartDate,workingEndDate,workingDateLabel,datePrecision,dateBasis,chapter,selection,routing,accessStatus,accessRestrictionNote,useStatus,markerStatus,markerRecordGroup,markerOffice,markerSeries,markerSubseries,markerOaId,markerFolderId,objectId,pdfBytes,ocrCharacterCount,memosToPresident,memosToScowcroft,memosToPorter,memorandaOfConversation,meetingRecords,withdrawalSheets,economicSignalTotal,tradeSignals,financeSignals,summitsSignals,transitionSignals,controlsSignals,reviewTopics,reviewFocus,economicSubjectLeads,archivalLocator,catalogUrl,pdfUrl
509545387,04165-007,2600791,GB-POD-007,Rob Chess' Subject Files,04165,NGA 1988 Conference Immigration S. 358 Immigration Act of 1990 [5],1990-01-01,1990-12-31,"January 1, 1990-December 31, 1990",range,Catalog coverage dates,Trade Policy and Market Access,Consider,Out of scope,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Rob Chess' Subject Files,Title-screened as outside the present foreign-economic scope; retained in the complete source ledger.,,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Rob Chess' Subject Files, OA/ID 04165–007, NGA 1988 Conference Immigration S. 358 Immigration Act of 1990 [5].",https://catalog.archives.gov/id/509545387,
509545388,04165-008,2600791,GB-POD-007,Rob Chess' Subject Files,04165,NGA 1988 Conference Immigration S. 358 Immigration Act of 1990 [6],1990-01-01,1990-12-31,"January 1, 1990-December 31, 1990",range,Catalog coverage dates,Trade Policy and Market Access,Consider,Out of scope,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Rob Chess' Subject Files,Title-screened as outside the present foreign-economic scope; retained in the complete source ledger.,,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Rob Chess' Subject Files, OA/ID 04165–008, NGA 1988 Conference Immigration S. 358 Immigration Act of 1990 [6].",https://catalog.archives.gov/id/509545388,
509545389,04165-009,2600791,GB-POD-007,Rob Chess' Subject Files,04165,NGA 1988 Conference Immigration S. 358 Immigration Act of 1990 [7],1990-01-01,1990-12-31,"January 1, 1990-December 31, 1990",range,Catalog coverage dates,Trade Policy and Market Access,Consider,Out of scope,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Rob Chess' Subject Files,Title-screened as outside the present foreign-economic scope; retained in the complete source ledger.,,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Rob Chess' Subject Files, OA/ID 04165–009, NGA 1988 Conference Immigration S. 358 Immigration Act of 1990 [7].",https://catalog.archives.gov/id/509545389,
509547815,08797-002,2600791,GB-POD-007,Rob Chess' Subject Files,08797,Budget 1990,1990-01-01,1990-12-31,"January 1, 1990-December 31, 1990",range,Catalog coverage dates,Trade Policy and Market Access,Consider,Out of scope,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Rob Chess' Subject Files,Title-screened as outside the present foreign-economic scope; retained in the complete source ledger.,,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Rob Chess' Subject Files, OA/ID 08797–002, Budget 1990.",https://catalog.archives.gov/id/509547815,
509547882,08855-010,503434622,GB-POD-043,Roger Porter Files,08855,Budget Agreements - 1990,1990-01-01,1990-12-31,"January 1, 1990-December 31, 1990",range,Catalog coverage dates,Trade Policy and Market Access,Consider,Out of scope,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Roger Porter Files,Title-screened as outside the present foreign-economic scope; retained in the complete source ledger.,,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter Files, OA/ID 08855–010, Budget Agreements - 1990.",https://catalog.archives.gov/id/509547882,
653628667,05841-011,633663627,GB-POD-043b,Roger Porter's Chronological Files,05841/2,Porter - Jan 90 [January 1990],1990-01-01,1990-01-31,January 1990,month,Explicit folder-title date,Trade Policy and Market Access,Consider,Selective review,Unrestricted,,Unrestricted,verified in OCR,George H.W. Bush Presidential Records,"Policy Development, White House Office of","Porter, Roger, Files",Chronological Files,05841,05841-011,653628668,53217168,225682,1,0,44,1,0,0,62,44,7,6,4,1,White House Office of Policy Development | Roger Porter's Chronological Files,"Finding-aid lead retained because of online Roger Porter chronological file requiring document-level screening. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.",garding the Uruguay Round negotiations.,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Roger Porter's Chronological Files, OA/ID 05841–011, Porter - Jan 90 [January 1990].",https://catalog.archives.gov/id/653628667,https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-pod/porter/chron_633663627/41-bpr-poldev-porter-chron-05841-011.pdf
509548134,CF01119-002,506211263,GB-POD-014,Stephen P. Farrar Trade Files,CF01119,Trade Chron Files: 1990,1990-01-01,1990-12-31,"January 1, 1990-December 31, 1990",range,Catalog coverage dates,Trade Policy and Market Access,Consider,Volume XXX review,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Stephen P. Farrar Trade Files | Trade policy,"Finding-aid lead retained because of functional trade or international-economic series, foreign-economic title terms. Review the folder document by document; the title does not establish document identity, selection value, or release completeness.",,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Stephen P. Farrar Trade Files, OA/ID CF01119–002, Trade Chron Files: 1990.",https://catalog.archives.gov/id/509548134,
509546108,06870-008,2580259,GB-POD-001,Tim Adam Subject Files,06870,Budget Agreement 1990,1990-01-01,1990-12-31,"January 1, 1990-December 31, 1990",range,Catalog coverage dates,Trade Policy and Market Access,Consider,Out of scope,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Tim Adam Subject Files,Title-screened as outside the present foreign-economic scope; retained in the complete source ledger.,,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Tim Adam Subject Files, OA/ID 06870–008, Budget Agreement 1990.",https://catalog.archives.gov/id/509546108,
509547375,08304-004,2600911,GB-POD-060,Gina Willis' Subject Files,08304,PEPAC [President's Education Policy Advisory Committee] - Meeting 1/11/90,1990-01-11,1990-01-11,"January 11, 1990",day,Explicit folder-title date,Trade Policy and Market Access,Consider,Out of scope,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | Gina Willis' Subject Files,Title-screened as outside the present foreign-economic scope; retained in the complete source ledger.,,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, Gina Willis' Subject Files, OA/ID 08304–004, PEPAC [President's Education Policy Advisory Committee] - Meeting 1/11/90.",https://catalog.archives.gov/id/509547375,
509545496,04939-080,505628526,GB-POD-041,James Pinkerton Chronological Files,04939,American Spectator 1/22/90,1990-01-22,1990-01-22,"January 22, 1990",day,Explicit folder-title date,Trade Policy and Market Access,Consider,Out of scope,Restricted - Possibly,Records may be closed under exemptions of the Presidential Records Act (PRA) and the Freedom of Information Act (FOIA). Withdrawal sheets in processed folders will indicate specific restrictions.,Unrestricted,not online,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,0,White House Office of Policy Development | James Pinkerton Chronological Files,Title-screened as outside the present foreign-economic scope; retained in the complete source ledger.,,"George H.W. Bush Library, Bush Presidential Records, White House Office of Policy Development, James Pinkerton Chronological Files, OA/ID 04939–080, American Spectator 1/22/90.",https://catalog.archives.gov/id/509545496,
