"naid","workingStartDate","workingEndDate","dateBasis","title","localId","chapter","routing","markerStatus","hasOnlinePdf","pdfBytes","catalogPdfBytes","pdfByteBasis","accessStatus","memosToPresident","memosToScowcroft","memorandaOfConversation","meetingRecords","withdrawalSheets","economicSignalTotal","economySignals","financeSignals","tradeSignals","assistanceSanctionsSignals","energySignals","agricultureSignals","treasurySignals","archivalLocator","catalogUrl","pdfUrl"
"470761104","1990-04-10","1990-04-10","Catalog coverage dates","NSC/DC 114 - April 10, 1990 - NSC/DC Meeting on Andean Implementation Plan, Keywords: Drugs [1]","90014-001","Series context and cross-volume routing","Series context","verified","true","6088785","6088785","HTTP Content-Length","Restricted - Possibly","0","0","0","5","9","12","0","8","0","0","0","0","4","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90014–001, NSC/DC 114—April 10, 1990—NSC/DC Meeting on Andean Implementation Plan, Keywords: Drugs [1].","https://catalog.archives.gov/id/470761104","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-114_1-90014-001.pdf"
"470761105","1990-04-10","1990-04-10","Catalog coverage dates","NSC/DC 114 - April 10, 1990 - NSC/DC Meeting on Andean Implementation Plan, Keywords: Drugs [2]","90014-002","Series context and cross-volume routing","Series context","verified","true","11752462","11752462","HTTP Content-Length","Restricted - Possibly","0","0","0","0","7","39","6","6","0","0","0","0","27","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90014–002, NSC/DC 114—April 10, 1990—NSC/DC Meeting on Andean Implementation Plan, Keywords: Drugs [2].","https://catalog.archives.gov/id/470761105","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-114_2-90014-002.pdf"
"470761106","1990-04-11","1990-04-11","Catalog coverage dates","NSC/DC 115 - April 11, 1990 - NSC/DC Meeting on Technology Transfer, Keywords: Technology Transfers [1]","90014-003","Strategic Trade, Technology, and Investment Controls","Volume XXX review","verified","true","7268600","7268600","HTTP Content-Length","Restricted - Possibly","0","0","0","12","3","39","0","2","31","0","6","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90014–003, NSC/DC 115—April 11, 1990—NSC/DC Meeting on Technology Transfer, Keywords: Technology Transfers [1].","https://catalog.archives.gov/id/470761106","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-115_1-90014-003.pdf"
"470761107","1990-04-11","1990-04-11","Catalog coverage dates","NSC/DC 115 - April 11, 1990 - NSC/DC Meeting on Technology Transfer, Keywords: Technology Transfers [2]","90014-004","Strategic Trade, Technology, and Investment Controls","Volume XXX review","verified","true","4045493","4045493","HTTP Content-Length","Restricted - Possibly","0","0","0","0","17","132","4","17","108","2","0","0","1","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90014–004, NSC/DC 115—April 11, 1990—NSC/DC Meeting on Technology Transfer, Keywords: Technology Transfers [2].","https://catalog.archives.gov/id/470761107","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-115_2-90014-004.pdf"
"470761108","1990-04-17","1990-04-17","Catalog coverage dates","NSC/DC 116 - April 17, 1990 - NSC/DC Meeting on Iraq, Keywords: Iraq","90014-005","Series context and cross-volume routing","Series context","verified","true","10936701","10936701","HTTP Content-Length","Restricted - Possibly","0","2","0","10","7","65","5","5","15","18","5","11","6","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90014–005, NSC/DC 116—April 17, 1990—NSC/DC Meeting on Iraq, Keywords: Iraq.","https://catalog.archives.gov/id/470761108","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-116-90014-005.pdf"
"470761110","1990-04-19","1990-04-19","Catalog coverage dates","NSC/DC 118 - April 19, 1990 - NSC/DC Meeting on Angola, Keywords: Angola (File located @ LM)","90014-007","Series context and cross-volume routing","Series context","verified","true","2462974","2462974","HTTP Content-Length","Restricted - Possibly","0","0","0","0","22","21","0","20","0","1","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90014–007, NSC/DC 118—April 19, 1990—NSC/DC Meeting on Angola, Keywords: Angola (File located @ LM).","https://catalog.archives.gov/id/470761110","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-118-90014-007.pdf"
"470761109","1990-04-20","1990-04-20","Catalog coverage dates","NSC/DC 117 - April 20, 1990 - NSC/DC Meeting on Hostage situation via SVTS, Keywords: Hostages, Lebanon, Syria","90014-006","Series context and cross-volume routing","Series context","verified","true","1865192","1865192","HTTP Content-Length","Restricted - Possibly","0","0","0","6","4","4","0","3","0","0","0","0","1","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90014–006, NSC/DC 117—April 20, 1990—NSC/DC Meeting on Hostage situation via SVTS, Keywords: Hostages, Lebanon, Syria.","https://catalog.archives.gov/id/470761109","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-117-90014-006.pdf"
"470761111","1990-04-20","1990-04-20","Catalog coverage dates","NSC/DC 119 - April 20, 1990 - NSC/DC Meeting on Technology Transfer, Keywords: Technology Transfers","90014-008","Strategic Trade, Technology, and Investment Controls","Volume XXX review","verified","true","14167165","14167165","HTTP Content-Length","Restricted - Possibly","0","0","0","7","11","88","4","9","60","0","14","0","1","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90014–008, NSC/DC 119—April 20, 1990—NSC/DC Meeting on Technology Transfer, Keywords: Technology Transfers.","https://catalog.archives.gov/id/470761111","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-119-90014-008.pdf"
"470761112","1990-05-01","1990-05-01","Catalog coverage dates","NSC/DC 120 - May 01, 1990 - NSC/DC Meeting on Philippine Base Negotiations, Keywords: Philippines, Military Bases","90014-009","Monetary Policy, Debt, and International Institutions","Boundary review","verified","true","12393465","12393465","HTTP Content-Length","Restricted - Possibly","0","0","0","10","16","35","0","19","0","0","0","0","16","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90014–009, NSC/DC 120—May 01, 1990—NSC/DC Meeting on Philippine Base Negotiations, Keywords: Philippines, Military Bases.","https://catalog.archives.gov/id/470761112","https://catalog.archives.gov/medialz/presidential-libraries/bush/gb-nsc/H-Files/NSC-DC_Mtgs_312294079/41-bpr-nsc-hfiles-dc_mtgs-120-90014-009.pdf"
"470761115","1990-05-01","1990-05-01","Catalog coverage dates","NSC/DC 123 - May 01, 1990 - NSC/DC Meeting on Jordan, Keywords: Jordan (File located @ LM)","90014-012","Series context and cross-volume routing","Series context","not online","false","0","0","No online PDF","Restricted - Possibly","0","0","0","0","0","0","0","0","0","0","0","0","0","George H.W. Bush Library, Bush Presidential Records, National Security Council, H-Files, NSC/DC Meetings Files, OA/ID 90014–012, NSC/DC 123—May 01, 1990—NSC/DC Meeting on Jordan, Keywords: Jordan (File located @ LM).","https://catalog.archives.gov/id/470761115",""
